,iteration,loss_value,score_value
0,1,-0.09178818192865988,0.7666666666666666
1,2,-0.10575107124391692,0.8333333333333334
2,3,-0.10169479745670519,0.8666666666666667
3,4,-0.11182359875838907,0.8666666666666667
4,5,-0.1260052720844259,0.7666666666666666
5,6,-0.12452782596737207,0.7
6,7,-0.12378030338558148,0.7
7,8,-0.1348630312124437,0.7333333333333334
8,9,-0.12892553951764685,0.6666666666666666
9,10,-0.1350328158680499,0.7
10,11,-0.13254648253586765,0.7333333333333334
11,12,-0.12499084184965636,0.7333333333333334
12,13,-0.12750422003256437,0.8
13,14,-0.1248583514469552,0.8333333333333334
14,15,-0.13656808220935246,0.7666666666666666
